ID,lat,lon
834,45.39112161,8.05182155
835,45.39163397,8.11568919
836,45.39211062,8.17955848
837,45.39255157,8.24342932
838,45.3929568,8.30730157
839,45.39332631,8.37117512
840,45.39366011,8.43504985
841,45.39395819,8.49892564
842,45.39422055,8.56280237
843,45.39444719,8.62667991
844,45.39463811,8.69055816
845,45.3947933,8.75443699
846,45.39491277,8.81831628
847,45.42413479,7.09257365
848,45.42518402,7.1564527
849,45.42619753,7.22033521
850,45.42717533,7.28422105
851,45.42811742,7.34811012
852,45.42902378,7.41200229
853,45.42989441,7.47589744
854,45.43072932,7.53979544
855,45.43152849,7.6036962
856,45.43229192,7.66759957
857,45.43301961,7.73150544
858,45.43371155,7.7954137
859,45.43436774,7.85932422
860,45.43498818,7.92323688
861,45.43557287,7.98715156
862,45.43612179,8.05106815
863,45.43663495,8.11498652
864,45.43711235,8.17890655
865,45.43755398,8.24282812
866,45.43795985,8.30675112
867,45.43832994,8.37067542
868,45.43866426,8.4346009
869,45.43896281,8.49852744
870,45.43922558,8.56245493
871,45.43945257,8.62638324
872,45.43964378,8.69031225
873,45.43979922,8.75424184
874,45.43991888,8.81817189
875,45.4691159,7.09105652
876,45.47016676,7.15498631
877,45.47118185,7.21891956
878,45.47216118,7.28285616
879,45.47310474,7.346796
880,45.47401251,7.41073894
881,45.47488451,7.47468487
882,45.47572072,7.53863367
883,45.47652114,7.60258522
884,45.47728576,7.6665394
885,45.47801458,7.73049609
886,45.47870761,7.79445517
887,45.47936482,7.85841652
888,45.47998623,7.92238001
889,45.48057183,7.98634554
890,45.48112161,8.05031297
891,45.48163557,8.11428219
892,45.48211372,8.17825308
893,45.48255604,8.24222551
894,45.48296254,8.30619937
895,45.48333321,8.37017454
896,45.48366805,8.43415089
897,45.48396706,8.49812831
898,45.48423024,8.56210667
899,45.48445759,8.62608586
900,45.4846491,8.69006575
901,45.48480478,8.75404623
902,45.48492463,8.81802716
903,45.5140966,7.08953581
904,45.5151491,7.15351645
905,45.51616579,7.21750057
906,45.51714664,7.28148805
907,45.51809167,7.34547877
908,45.51900087,7.4094726
909,45.51987422,7.47346944
910,45.52071174,7.53746915
911,45.5215134,7.60147162
912,45.52227922,7.66547673
913,45.52300918,7.72948435
914,45.52370329,7.79349437
915,45.52436153,7.85750667
916,45.52498391,7.92152112
917,45.52557042,7.9855376
918,45.52612106,8.049556
919,45.52663583,8.11357619
920,45.52711472,8.17759805
921,45.52755773,8.24162147
922,45.52796486,8.30564631
923,45.52833611,8.36967247
924,45.52867148,8.43369981
925,45.52897096,8.49772823
926,45.52923455,8.56175759
927,45.52946225,8.62578778
928,45.52965407,8.68981867
929,45.52980999,8.75385015
930,45.56398883,7.40820327
931,45.56486355,7.47225113
932,45.56570238,7.53630187
933,45.5665053,7.60035538
934,45.56727231,7.66441154
935,45.56800341,7.72847022
936,45.5686986,7.7925313
937,45.56935787,7.85659466
938,45.56998122,7.92066019
939,45.57056865,7.98472775
940,45.57112015,8.04879724
941,45.57163572,8.11286852
942,45.57211536,8.17694148
943,45.57255906,8.241016
944,45.57296683,8.30509195
945,45.57333866,8.36916921
946,45.57367455,8.43324767
947,45.5739745,8.4973272
948,45.5742385,8.56140768
949,45.57446656,8.62548899
950,45.57465867,8.689571
951,45.61069264,7.53513183
952,45.61149681,7.5992365
953,45.61369354,7.79156594
954,45.61435384,7.8556805
955,45.61497816,7.91979722
956,45.61556651,7.98391599
957,45.61611887,8.04803668
958,45.61663524,8.11215918
959,45.61711563,8.17628335
960,45.61756003,8.24040909
961,45.61796843,8.30453627
962,45.61834085,8.36866476
963,45.61867726,8.43279445
964,45.61897767,8.49692522
965,45.61924209,8.56105694
966,45.6194705,8.62518949
967,45.61966292,8.68932275
968,45.65997474,7.9189322
969,45.660564,7.98310229
970,45.66111722,8.04727432
971,45.66163441,8.11144815
972,45.66211554,8.17562366
973,45.66256064,8.23980075
974,45.66296968,8.30397927
975,45.66334267,8.36815912
976,45.66367961,8.43234016
977,45.66398049,8.49652229
978,45.66424532,8.56070537
979,45.66447409,8.62488928
980,45.66466681,8.68907391
981,45.70497094,7.91806514
982,45.70556112,7.98228667
983,45.70611521,8.04651014
984,45.7066332,8.11073543
